,Make,Model,Style,Fuel_type,Transmission
357,Mercedes,C Class,Sedan,Petrol,1
358,BMW,3 Series,Sedan,Petrol,1
359,Audi,A4,Sedan,Petrol,0
360,Volvo,Rare,Universal,Plug-in Hybrid,1
361,Volkswagen,Golf,Hatchback,Petrol,1
362,Toyota,Avensis,Combi,Petrol,0
363,Hyundai,ix35,SUV,Diesel,0
364,Skoda,Octavia,Sedan,Diesel,1
365,Volkswagen,Jetta,Sedan,Hybrid,1
366,Skoda,Fabia,Universal,Diesel,0
367,Opel,Astra,Universal,Petrol,0
368,Volkswagen,Passat CC,Sedan,Petrol,1
369,Lexus,RX Series,SUV,Metan/Propan,1
370,Chevrolet,Rare,Crossover,Diesel,1
371,Toyota,Avensis,Sedan,Diesel,0
372,Mercedes,Rare,SUV,Petrol,1
373,Mercedes,E Class,Sedan,Metan/Propan,1
374,Saab,Rare,Sedan,Petrol,1
375,Skoda,Octavia,Universal,Diesel,0
376,Toyota,Rare,Hatchback,Hybrid,1
377,Volvo,Altele,Hatchback,Diesel,0
378,Mercedes,E Class,Sedan,Diesel,1
379,BMW,X5,SUV,Diesel,1
380,Opel,Astra,Hatchback,Diesel,0
381,Volkswagen,Jetta,Sedan,Petrol,1
382,BMW,X5,SUV,Diesel,1
383,Toyota,Land Cruiser Prado,SUV,Metan/Propan,1
384,Nissan,Micra,Hatchback,Petrol,0
385,Hyundai,Santa FE,Crossover,Diesel,1
386,BMW,5 Series,Sedan,Petrol,1
387,KIA,Optima,Sedan,Metan/Propan,1
388,Volkswagen,Caddy,Minivan,Petrol,0
389,Opel,Astra,Universal,Metan/Propan,0
390,Mitsubishi,Rare,Crossover,Metan/Propan,1
391,KIA,Rare,Universal,Petrol,0
392,Renault,Grand Scenic,Universal,Diesel,0
393,Mercedes,C Class,Sedan,Diesel,0
394,Mercedes,M Class,SUV,Diesel,1
395,Renault,Megane,Universal,Diesel,1
396,Mercedes,Rare,Sedan,Petrol,1
397,Nissan,Qashqai,Crossover,Diesel,0
398,Volkswagen,Golf,Hatchback,Plug-in Hybrid,1
399,Audi,A4,Universal,Petrol,1
400,Renault,Rare,SUV,Petrol,1
401,Toyota,Auris,Universal,Diesel,0
402,Peugeot,Rare,Minivan,Diesel,0
403,BMW,7 Series,Sedan,Diesel,1
404,Mitsubishi,Rare,Roadster,Diesel,0
405,Toyota,Rare,Sedan,Plug-in Hybrid,1
406,Subaru,Rare,Sedan,Petrol,0
407,Volkswagen,Passat,Sedan,Petrol,0
408,Ford,Focus,Universal,Petrol,0
409,Mercedes,C Class,Sedan,Metan/Propan,1
410,Volkswagen,Polo,Hatchback,Diesel,0
411,Nissan,Qashqai,Crossover,Diesel,0
412,Opel,Insignia,Hatchback,Petrol,1
413,Mercedes,Vito,Microvan,Diesel,0
