,Year,Distance,Engine_capacity(cm3),Price(euro)
377,1995,5000.0,2400.0,1700.0
378,2002,256000.0,2700.0,5500.0
379,2005,193000.0,3000.0,11850.0
380,2006,250000.0,1300.0,4500.0
381,2015,173000.0,1400.0,8600.0
382,2015,185000.0,2999.0,34000.0
383,2006,220000.0,2700.0,13500.0
384,2018,95000.0,900.0,10500.0
385,2011,169000.0,2200.0,13990.0
386,2012,200000.0,2000.0,11500.0
387,2014,60000.0,2000.0,9900.0
388,2009,276555.0,1595.0,9500.0
389,2005,227000.0,1600.0,4650.0
390,2003,230000.0,1800.0,4900.0
391,2010,150000.0,1400.0,6000.0
392,2004,139000.0,1500.0,3700.0
393,2012,206000.0,2200.0,14399.0
394,2013,77000.0,2500.0,27900.0
395,2014,139200.0,1490.0,7200.0
396,2017,40000.0,2000.0,16999.0
397,2016,185000.0,1500.0,13000.0
398,2015,157000.0,1400.0,13500.0
399,2011,1234.0,2000.0,9500.0
400,2013,145000.0,1200.0,8800.0
401,2013,177800.0,1400.0,8500.0
402,2006,247000.0,2200.0,2200.0
403,2013,165000.0,3000.0,26800.0
404,2004,300000.0,2500.0,8000.0
405,2017,95000.0,1800.0,17999.0
406,2000,222530.0,1600.0,3800.0
407,2005,270000.0,2000.0,5700.0
408,2012,167000.0,1000.0,4999.0
409,1995,345000.0,1800.0,2200.0
410,2014,212600.0,1400.0,6850.0
411,2013,140000.0,1500.0,8500.0
412,2015,220000.0,2000.0,9990.0
413,2012,237000.0,2200.0,10490.0
414,2016,153000.0,1500.0,9200.0
415,2004,320000.0,1400.0,3800.0
416,2012,188000.0,2000.0,4500.0
417,2015,215000.0,1500.0,4850.0
418,2006,218400.0,2000.0,7000.0
419,2005,256983.0,1500.0,3150.0
420,2011,213548.0,2000.0,17250.0
421,2017,130212.0,2000.0,17499.0
422,2014,148000.0,1500.0,7900.0
423,2013,180000.0,1500.0,3000.0
424,2014,107000.0,2998.0,37900.0
425,2017,30100.0,1400.0,15500.0
426,2012,230000.0,1800.0,10299.0
427,2001,280000.0,1900.0,1900.0
428,2007,229000.0,2400.0,5600.0
429,2010,74000.0,1400.0,6500.0
430,2007,170000.0,1200.0,3450.0
431,1994,266000.0,2000.0,1700.0
432,2016,1360.0,1800.0,11000.0
433,2019,4000.0,1399.0,15000.0
434,2005,400000.0,1900.0,4500.0
435,2018,28942.0,2000.0,27999.0
436,2016,162000.0,2000.0,29999.0
437,2015,112000.0,4950.0,24500.0
438,2016,95000.0,1991.0,37000.0
439,2005,278000.0,1400.0,2850.0
440,2010,173000.0,1200.0,3200.0
441,2002,270000.0,2500.0,3990.0
442,2010,190000.0,1800.0,8500.0
443,2019,33000.0,2000.0,18900.0
444,2015,88000.0,2000.0,16950.0
445,2013,174600.0,1400.0,5650.0
446,2008,130000.0,1200.0,4700.0
447,1996,250000.0,1400.0,1299.0
448,2008,180000.0,1500.0,4900.0
449,2009,264714.0,1400.0,3700.0
450,2015,125000.0,2000.0,12499.0
451,2015,196231.0,1400.0,7650.0
452,1995,11111.0,1600.0,800.0
453,2005,125488.0,1400.0,2200.0
454,2018,72000.0,2000.0,26500.0
455,2011,242337.0,1500.0,5650.0
456,2002,296852.0,1600.0,2500.0
457,2015,76500.0,1600.0,12999.0
458,2007,169000.0,2200.0,4300.0
459,2018,111500.0,2000.0,19900.0
460,2005,180000.0,2000.0,5300.0
461,2010,178000.0,1999.0,9490.0
462,2016,170000.0,1500.0,10500.0
463,2001,287141.0,1400.0,2099.0
464,1987,256987.0,1700.0,650.0
465,2013,182000.0,2200.0,16999.0
466,2011,167000.0,1800.0,10250.0
467,2015,162000.0,1400.0,7200.0
468,2002,257000.0,2200.0,4700.0
469,2016,83872.0,1500.0,7950.0
470,2011,181000.0,1600.0,10800.0
471,2005,260000.0,4500.0,7600.0
472,2011,210710.0,200.0,16450.0
473,2010,178000.0,1500.0,5400.0
474,2006,111111.0,2000.0,3100.0
475,2016,190000.0,1500.0,7500.0
