,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
29925,41,80,2013,11,250000.0,1500.0,0,0,5700.0,27777.777777777777
29926,4,9,2015,10,160000.0,1997.0,0,1,21000.0,22857.14285714286
29927,41,101,2008,5,350553.0,1998.0,0,0,6555.0,25039.5
29928,53,90,1996,4,330000.0,1600.0,4,0,2000.0,12692.307692307691
29929,12,76,2014,10,156000.0,1200.0,3,0,3200.0,19500.0
29930,53,61,2009,4,213000.0,1400.0,4,1,7900.0,16384.615384615383
29931,36,91,1992,10,372000.0,1600.0,4,0,900.0,12400.0
29932,21,101,1996,10,435928.0,1600.0,3,0,500.0,16766.46153846154
29933,17,52,1998,11,230000.0,1600.0,4,0,2300.0,9583.333333333334
29934,32,31,1998,11,287000.0,2155.0,0,0,3200.0,11958.333333333334
29935,4,6,2001,11,335000.0,1995.0,0,0,2500.0,15952.380952380952
29936,4,9,2013,10,196000.0,2000.0,4,1,15800.0,21777.777777777777
29937,20,41,2007,10,216000.0,1400.0,2,1,4500.0,14400.0
29938,41,107,2007,11,255000.0,1500.0,0,0,4200.0,17000.0
29939,25,101,2012,4,118200.0,1000.0,4,0,4600.0,11820.0
29940,53,90,2008,4,11111.0,1400.0,0,0,3500.0,793.6428571428571
29941,32,48,1997,10,250000.0,2000.0,3,1,3000.0,10000.0
29942,36,96,2010,3,181000.0,1500.0,0,0,8200.0,15083.333333333334
29943,36,91,1994,4,380000.0,1600.0,4,0,850.0,13571.42857142857
29944,34,72,2008,10,190000.0,1500.0,4,1,4800.0,13571.42857142857
29945,32,104,1992,10,310000.0,3200.0,3,0,3950.0,10333.333333333334
29946,53,66,1991,10,403000.0,1600.0,3,0,1200.0,13000.0
29947,41,80,2005,11,111111.0,1498.0,3,0,2650.0,6535.941176470588
29948,32,48,2002,10,330700.0,2699.0,0,0,7300.0,16535.0
29949,12,76,2009,6,300000.0,1400.0,0,0,2200.0,23076.923076923078
29950,21,106,2019,3,63782.0,2000.0,4,1,16850.0,21260.666666666668
29951,53,90,2000,2,346000.0,1400.0,4,0,2450.0,15727.272727272728
29952,34,87,2015,9,146000.0,1998.0,5,1,16000.0,20857.14285714286
29953,16,101,2008,4,205000.0,1400.0,3,0,4550.0,14642.857142857143
29954,50,26,2012,11,190000.0,2200.0,0,1,11200.0,19000.0
29955,12,77,2007,11,222222.0,1500.0,0,0,3500.0,14814.8
29956,50,92,2019,4,54043.0,1800.0,4,1,14100.0,18014.333333333332
29957,37,23,2004,4,293001.0,1400.0,4,0,3599.0,16277.833333333334
29958,53,117,2007,6,198001.0,1400.0,4,0,5990.0,13200.066666666668
29959,42,101,2004,4,161001.0,1400.0,4,0,2499.0,8944.5
29960,45,85,2017,11,146001.0,1400.0,3,1,13990.0,29200.2
29961,27,98,2015,9,171001.0,3000.0,0,1,80000.0,24428.714285714286
29962,53,88,2001,11,234001.0,1800.0,4,1,2499.0,11142.904761904761
29963,12,77,2009,11,179001.0,1500.0,0,0,4990.0,13769.307692307691
29964,54,130,2004,9,257001.0,2600.0,3,1,7490.0,14277.833333333334
29965,44,101,2001,4,275000.0,1390.0,4,0,1500.0,13095.238095238095
29966,50,101,2013,6,110000.0,1000.0,4,0,4000.0,12222.222222222223
29967,41,107,2007,11,230000.0,1500.0,0,0,3700.0,15333.333333333334
29968,32,48,2001,10,30000.0,2200.0,0,1,3700.0,1428.5714285714287
29969,41,80,2013,11,170000.0,1500.0,0,0,6450.0,18888.88888888889
29970,50,44,2009,10,142000.0,1400.0,4,0,6200.0,10923.076923076924
29971,52,2,1987,10,11111.0,1000.0,4,0,1300.0,317.45714285714286
29972,28,58,1998,10,345000.0,3000.0,3,1,5300.0,14375.0
29973,37,23,2010,4,170000.0,1300.0,0,0,4500.0,14166.666666666666
29974,36,101,2004,6,239529.0,1800.0,4,0,2700.0,13307.166666666666
29975,50,45,2009,6,163000.0,2200.0,0,0,5850.0,12538.461538461539
29976,39,39,2016,3,40000.0,3000.0,5,1,32000.0,6666.666666666667
29977,50,101,2001,6,359800.0,2000.0,0,0,4600.0,17133.333333333332
29978,50,92,2009,10,128611.0,1800.0,4,1,8700.0,9893.153846153846
29979,53,88,2008,11,230000.0,1900.0,0,0,3550.0,16428.571428571428
29980,32,48,2015,10,244000.0,2200.0,0,1,18990.0,34857.142857142855
29981,32,48,1997,10,171000.0,2400.0,4,1,4200.0,6840.0
29982,20,41,1991,10,200000.0,1600.0,4,1,12000.0,6451.612903225807
29983,50,32,2017,3,61000.0,1800.0,2,1,17490.0,12200.0
29984,45,50,2007,11,128000.0,1200.0,4,0,3650.0,8533.333333333334
29985,32,124,1997,6,22222.0,2287.0,0,0,2200.0,888.88
29986,31,5,2013,4,190000.0,1600.0,4,1,4299.0,21111.11111111111
29987,50,26,2009,11,187000.0,2000.0,0,0,6250.0,14384.615384615385
29988,20,35,2012,9,187000.0,2200.0,0,1,11500.0,18700.0
29989,50,92,2008,4,190000.0,1500.0,2,1,5250.0,13571.42857142857
29990,3,18,2006,10,220000.0,3000.0,0,1,15500.0,13750.0
29991,12,77,2010,6,165000.0,1500.0,0,0,5990.0,13750.0
29992,50,45,2008,4,138000.0,2200.0,0,0,4700.0,9857.142857142857
29993,37,23,2007,11,260000.0,1300.0,0,0,4100.0,17333.333333333332
29994,32,48,1999,10,376000.0,200.0,4,0,3200.0,16347.826086956522
29995,17,83,2018,11,71000.0,1500.0,4,0,13800.0,17750.0
29996,21,106,2009,3,30000.0,2189.0,0,0,13000.0,2307.6923076923076
29997,37,23,2011,11,215000.0,1700.0,0,0,8399.0,19545.454545454544
29998,45,85,2011,11,236000.0,1600.0,0,0,8200.0,21454.545454545456
29999,21,60,2004,4,245000.0,1100.0,4,0,2700.0,13611.111111111111
30000,37,122,1995,10,270800.0,1600.0,4,0,950.0,10029.62962962963
30001,54,101,2016,10,147000.0,2000.0,0,1,29500.0,24500.0
30002,3,15,2015,10,164000.0,2000.0,0,0,16500.0,23428.571428571428
30003,41,80,2013,11,207000.0,1500.0,0,0,5990.0,23000.0
30004,4,9,2002,10,265008.0,2000.0,0,0,2450.0,13250.4
30005,3,17,2006,11,380000.0,2792.0,0,1,6000.0,23750.0
30006,41,80,2009,4,123000.0,1500.0,0,0,3000.0,9461.538461538461
